Category: CD
Networks analyzed: 368

Vertex	Absolute_Frequency	Relative_Frequency(%)
PWY-822:_fructan_biosynthesis	2	0.54
P124-PWY:_Bifidobacterium_shunt	2	0.54
PWY-6595:_superpathway_of_guanosine_nucleotides_degradation_(plants)	2	0.54
PWY-7388:_octanoyl-[acyl-carrier_protein]_biosynthesis_(mitochondria,_yeast)	2	0.54
PWY66-430:_myristate_biosynthesis_(mitochondria)	2	0.54
PWY-5838:_superpathway_of_menaquinol-8_biosynthesis_I	2	0.54
P108-PWY:_pyruvate_fermentation_to_propanoate_I	2	0.54
PWY-6293:_superpathway_of_L-cysteine_biosynthesis_(fungi)	2	0.54
P122-PWY:_heterolactic_fermentation	2	0.54
PWY-6210:_2-aminophenol_degradation	2	0.54
PWY-7616:_methanol_oxidation_to_carbon_dioxide	2	0.54
GLYCOLYSIS-E-D:_superpathway_of_glycolysis_and_the_Entner-Doudoroff_pathway	1	0.27
PWY-6396:_superpathway_of_2,3-butanediol_biosynthesis	1	0.27
PWY-7312:_dTDP-&beta;-D-fucofuranose_biosynthesis	1	0.27
PWY-4361:_S-methyl-5-thio-&alpha;-D-ribose_1-phosphate_degradation_I	1	0.27
PWY-6471:_peptidoglycan_biosynthesis_IV_(Enterococcus_faecium)	1	0.27
PWY-6470:_peptidoglycan_biosynthesis_V_(&beta;-lactam_resistance)	1	0.27
PWY-3801:_sucrose_degradation_II_(sucrose_synthase)	1	0.27
PWY-7456:_&beta;-(1,4)-mannan_degradation	1	0.27
RUMP-PWY:_formaldehyde_oxidation_I	1	0.27
PWY-6906:_chitin_derivatives_degradation	1	0.27
PWY-5654:_2-amino-3-carboxymuconate_semialdehyde_degradation_to_2-hydroxypentadienoate	1	0.27
PWY-7268:_cytosolic_NADPH_production_(yeast)	1	0.27
